WindDirection,Radius,Vector3D,TotalAreaBurned,TotalAreaBurnedWestOfTheRiver
SE,1,{-1 -1 -1},0.000244140625,0
SE,1,{-1 -1 -1},0.00048828125,0
SE,1,{-1 -1 -1},0.000732421875,0
SE,1,{-1 -1 -1},0.000244140625,0
SE,1,{-1 -1 -1},0.000244140625,0
SE,1,{-1 -1 -1},0.000732421875,0
SE,1,{-1 -1 -1},0.000732421875,0
SE,1,{-1 -1 -1},0.000244140625,0
SE,1,{-1 -1 -1},0.000244140625,0
SE,1,{-1 -1 -1},0.00048828125,0
SE,1,{-1 -1 -1},0.001708984375,0
SE,1,{-1 -1 -1},0.00048828125,0
SE,1,{-1 -1 -1},0.00048828125,0
SE,1,{-1 -1 -1},0.000244140625,0
SE,1,{-1 -1 -1},0.000244140625,0
SE,1,{-1 -1 -1},0.00048828125,0
SE,1,{-1 -1 -1},0.000244140625,0
SE,1,{-1 -1 -1},0.000732421875,0
SE,1,{-1 -1 -1},0.000244140625,0
SE,1,{-1 -1 -1},0.000244140625,0
SE,1,{-1 -1 -1},0.000244140625,0
SE,1,{-1 -1 -1},0.000244140625,0
SE,1,{-1 -1 -1},0.000244140625,0
SE,1,{-1 -1 -1},0.000244140625,0
SE,1,{-1 -1 -1},0.000244140625,0
SE,1,{-1 -1 -1},0.000244140625,0
SE,1,{-1 -1 -1},0.000244140625,0
SE,1,{-1 -1 -1},0.00048828125,0
SE,1,{-1 -1 -1},0.000244140625,0
SE,1,{-1 -1 -1},0.000244140625,0
S,1,{-1 -1 -1},0.00048828125,0
S,1,{-1 -1 -1},0.00048828125,0
S,1,{-1 -1 -1},0.000244140625,0
S,1,{-1 -1 -1},0.00048828125,0
S,1,{-1 -1 -1},0.000244140625,0
S,1,{-1 -1 -1},0.000244140625,0
S,1,{-1 -1 -1},0.000732421875,0
S,1,{-1 -1 -1},0.000244140625,0
S,1,{-1 -1 -1},0.000244140625,0
S,1,{-1 -1 -1},0.000244140625,0
S,1,{-1 -1 -1},0.000244140625,0
S,1,{-1 -1 -1},0.000244140625,0
S,1,{-1 -1 -1},0.000244140625,0
S,1,{-1 -1 -1},0.000244140625,0
SW,1,{-1 -1 -1},0.000244140625,0
S,1,{-1 -1 -1},0.000244140625,0
S,1,{-1 -1 -1},0.000244140625,0
S,1,{-1 -1 -1},0.000732421875,0
S,1,{-1 -1 -1},0.000244140625,0
S,1,{-1 -1 -1},0.000244140625,0
S,1,{-1 -1 -1},0.001220703125,0
S,1,{-1 -1 -1},0.000244140625,0
S,1,{-1 -1 -1},0.000244140625,0
S,1,{-1 -1 -1},0.00048828125,0
S,1,{-1 -1 -1},0.000244140625,0
S,1,{-1 -1 -1},0.00048828125,0
S,1,{-1 -1 -1},0.000244140625,0
S,1,{-1 -1 -1},0.000732421875,0
S,1,{-1 -1 -1},0.000244140625,0
S,1,{-1 -1 -1},0.000732421875,0
S,1,{-1 -1 -1},0.000244140625,0
S,1,{-1 -1 -1},0.00048828125,0
S,1,{-1 -1 -1},0.00048828125,0
S,1,{-1 -1 -1},0.000244140625,0
S,1,{-1 -1 -1},0.000732421875,0
S,1,{-1 -1 -1},0.000244140625,0
S,1,{-1 -1 -1},0.000244140625,0
S,1,{-1 -1 -1},0.000244140625,0
S,1,{-1 -1 -1},0.000244140625,0
S,1,{-1 -1 -1},0.000732421875,0
S,1,{-1 -1 -1},0.000244140625,0
S,1,{-1 -1 -1},0.000244140625,0
S,1,{-1 -1 -1},0.00048828125,0
S,1,{-1 -1 -1},0.00048828125,0
S,1,{-1 -1 -1},0.000244140625,0
S,1,{-1 -1 -1},0.000732421875,0
S,1,{-1 -1 -1},0.000244140625,0
S,1,{-1 -1 -1},0.00048828125,0
S,1,{-1 -1 -1},0.00048828125,0
S,1,{-1 -1 -1},0.000244140625,0
S,1,{-1 -1 -1},0.000732421875,0
S,1,{-1 -1 -1},0.000244140625,0
S,1,{-1 -1 -1},0.00048828125,0
S,1,{-1 -1 -1},0.000244140625,0
S,1,{-1 -1 -1},0.000244140625,0
S,1,{-1 -1 -1},0.000244140625,0
S,1,{-1 -1 -1},0.000244140625,0
S,1,{-1 -1 -1},0.000244140625,0
S,1,{-1 -1 -1},0.000244140625,0
S,1,{-1 -1 -1},0.000732421875,0
S,1,{-1 -1 -1},0.000244140625,0
S,1,{-1 -1 -1},0.00048828125,0
S,1,{-1 -1 -1},0.000244140625,0
S,1,{-1 -1 -1},0.000244140625,0
S,1,{-1 -1 -1},0.00048828125,0
S,1,{-1 -1 -1},0.000244140625,0
S,1,{-1 -1 -1},0.000244140625,0
S,1,{-1 -1 -1},0.00048828125,0
S,1,{-1 -1 -1},0.000244140625,0
S,1,{-1 -1 -1},0.00048828125,0
S,1,{-1 -1 -1},0.000244140625,0
S,1,{-1 -1 -1},0.000244140625,0
S,1,{-1 -1 -1},0.00048828125,0
S,1,{-1 -1 -1},0.00048828125,0
S,1,{-1 -1 -1},0.00048828125,0
S,1,{-1 -1 -1},0.000244140625,0
S,1,{-1 -1 -1},0.00048828125,0
S,1,{-1 -1 -1},0.000244140625,0
S,1,{-1 -1 -1},0.000244140625,0
S,1,{-1 -1 -1},0.000732421875,0
S,1,{-1 -1 -1},0.000244140625,0
S,1,{-1 -1 -1},0.000244140625,0
S,1,{-1 -1 -1},0.000244140625,0
S,1,{-1 -1 -1},0.000244140625,0
S,1,{-1 -1 -1},0.00048828125,0
S,1,{-1 -1 -1},0.000244140625,0
S,1,{-1 -1 -1},0.000244140625,0
